id,listing_url,scrape_id,last_scraped,source,host_id,host_url,host_name,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
258636,https://www.airbnb.com/rooms/258636,20221211170644,2022-12-11,city scrape,948852,https://www.airbnb.com/users/show/948852,Ian,2011-08-09,"Vancouver, Canada",within an hour,100%,0%,f,https://a0.muscache.com/im/users/948852/profile_pic/1319469757/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/948852/profile_pic/1319469757/original.jpg?aki_policy=profile_x_medium,Downtown Vancouver,1,1,"['email', 'phone']",t,t,,Downtown,,49.27839,-123.12852,Entire rental unit,Entire home/apt,4,,1 bath,1,2,$99.00,120,365,120,120,365,365,120,365,,t,6,6,6,77,2022-12-11,53,0,0,2011-12-20,2021-03-31,4.79,4.85,4.4,4.83,4.85,4.9,4.69,,f,1,1,0,0,0.4
653722493018322229,https://www.airbnb.com/rooms/653722493018322229,20221211170644,2022-12-11,city scrape,419113312,https://www.airbnb.com/users/show/419113312,Babita,2021-08-18,"Vancouver, Canada",within a day,100%,100%,f,https://a0.muscache.com/im/pictures/user/069c23a2-912a-4691-b426-e30b70598fa2.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/069c23a2-912a-4691-b426-e30b70598fa2.jpg?aki_policy=profile_x_medium,East Vancouver,1,1,['phone'],t,t,"Vancouver, British Columbia, Canada",Hastings-Sunrise,,49.26748,-123.02935,Private room in home,Private room,1,,1 private bath,1,1,$58.00,30,365,30,30,1125,1125,30,1125,,t,10,40,70,70,2022-12-11,0,0,0,,,,,,,,,,,t,1,0,1,0,
2216062,https://www.airbnb.com/rooms/2216062,20221211170644,2022-12-11,city scrape,11304608,https://www.airbnb.com/users/show/11304608,Julie,2014-01-14,"Vancouver, Canada",within a day,90%,79%,t,https://a0.muscache.com/im/pictures/user/b471f93b-bec3-4015-87d4-dd6994c28285.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/b471f93b-bec3-4015-87d4-dd6994c28285.jpg?aki_policy=profile_x_medium,Kitsilano,1,1,"['email', 'phone']",t,t,,West Point Grey,,49.26992,-123.18596,Entire rental unit,Entire home/apt,4,,1 bath,2,3,$90.00,28,1125,28,28,1125,1125,28,1125,,t,0,0,0,131,2022-12-11,59,6,1,2014-07-02,2022-11-27,4.97,5,5,5,4.98,5,4.93,22-156107,f,1,1,0,0,0.57
22049481,https://www.airbnb.com/rooms/22049481,20221211170644,2022-12-11,city scrape,255350,https://www.airbnb.com/users/show/255350,Elaine,2010-10-07,"Vancouver, Canada",within an hour,100%,100%,t,https://a0.muscache.com/im/users/255350/profile_pic/1340130432/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/255350/profile_pic/1340130432/original.jpg?aki_policy=profile_x_medium,Hastings-Sunrise,1,1,"['email', 'phone']",t,t,"Vancouver, British Columbia, Canada",Hastings-Sunrise,,49.29204,-123.04948,Entire guest suite,Entire home/apt,3,,1 bath,,2,$99.00,3,1124,3,4,1125,1125,3.3,1125,,t,11,11,21,65,2022-12-11,154,8,1,2017-12-24,2022-11-28,4.92,4.96,4.95,4.98,4.95,4.9,4.9,22-156304,f,1,1,0,0,2.55
3678989,https://www.airbnb.com/rooms/3678989,20221211170644,2022-12-11,city scrape,6602654,https://www.airbnb.com/users/show/6602654,Kriszta,2013-05-27,"Vancouver, Canada",within an hour,100%,100%,t,https://a0.muscache.com/im/users/6602654/profile_pic/1369688339/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/6602654/profile_pic/1369688339/original.jpg?aki_policy=profile_x_medium,Commercial Drive,1,3,"['email', 'phone']",t,t,"Vancouver, British Columbia, Canada",Grandview-Woodland,,49.27166,-123.06616,Entire guest suite,Entire home/apt,4,,1 bath,1,2,$99.00,2,1125,2,2,1125,1125,2,1125,,t,6,29,51,124,2022-12-11,291,46,3,2014-07-29,2022-11-28,4.74,4.74,4.8,4.94,4.91,4.87,4.77,22-157344,t,1,1,0,0,2.85
17734782,https://www.airbnb.com/rooms/17734782,20221211170644,2022-12-11,city scrape,120948353,https://www.airbnb.com/users/show/120948353,Star,2017-03-15,"Vancouver, Canada",within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/3359b0da-7498-438f-be99-b22f098218b4.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/3359b0da-7498-438f-be99-b22f098218b4.jpg?aki_policy=profile_x_medium,Hastings-Sunrise,1,1,"['email', 'phone']",t,t,"Vancouver, British Columbia, Canada",Hastings-Sunrise,,49.29021,-123.05265,Entire guesthouse,Entire home/apt,3,,1 bath,1,2,$106.00,2,1125,2,2,1125,1125,2,1125,,t,12,39,59,130,2022-12-11,165,32,2,2017-03-27,2022-11-27,4.97,4.99,4.97,4.99,4.97,4.78,4.88,22-156325,f,1,1,0,0,2.37
778354765336632805,https://www.airbnb.com/rooms/778354765336632805,20221211170644,2022-12-11,city scrape,120742101,https://www.airbnb.com/users/show/120742101,Host,2017-03-14,"Vancouver, Canada",N/A,N/A,100%,f,https://a0.muscache.com/im/pictures/user/bf063d5f-679c-4ad3-a723-6421b46741eb.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/bf063d5f-679c-4ad3-a723-6421b46741eb.jpg?aki_policy=profile_x_medium,West Point Grey,2,20,"['email', 'phone']",t,t,,West Point Grey,,49.270028,-123.2054825,Private room in home,Private room,8,,2.5 baths,4,4,$320.00,2,1125,2,2,1125,1125,2,1125,,t,29,59,89,89,2022-12-11,0,0,0,,,,,,,,,,22-302610,f,2,0,2,0,
24133046,https://www.airbnb.com/rooms/24133046,20221211170644,2022-12-11,city scrape,115868438,https://www.airbnb.com/users/show/115868438,Heidi,2017-02-10,"Vancouver, Canada",within an hour,100%,100%,f,https://a0.muscache.com/im/pictures/user/0d3789bd-9f19-4a30-9b1b-bd2f2294a1e2.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/0d3789bd-9f19-4a30-9b1b-bd2f2294a1e2.jpg?aki_policy=profile_x_medium,Central Vancouver,1,1,"['email', 'phone']",t,t,,Downtown Eastside,,49.28244,-123.08245,Entire condo,Entire home/apt,4,,1 bath,1,2,$114.00,2,30,2,2,1125,1125,2,1125,,t,23,53,83,166,2022-12-11,47,38,4,2021-08-19,2022-11-24,4.79,4.81,4.96,4.77,4.83,4.21,4.62,22-157572,f,1,1,0,0,2.94
27377931,https://www.airbnb.com/rooms/27377931,20221211170644,2022-12-11,city scrape,206334970,https://www.airbnb.com/users/show/206334970,Leo,2018-07-31,"Vancouver, Canada",within an hour,100%,96%,f,https://a0.muscache.com/im/pictures/user/8cfb4ed8-ed20-4d10-be15-297c3e8bb254.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/8cfb4ed8-ed20-4d10-be15-297c3e8bb254.jpg?aki_policy=profile_x_medium,Downtown Eastside,2,2,"['email', 'phone']",t,t,"Vancouver, British Columbia, Canada",Downtown Eastside,,49.2815,-123.08059,Entire condo,Entire home/apt,3,,1 bath,1,1,$105.00,1,1125,1,1,1125,1125,1,1125,,t,9,13,13,79,2022-12-11,188,53,1,2018-08-12,2022-11-13,4.7,4.83,4.87,4.81,4.72,4.29,4.66,22-156293,f,1,1,0,0,3.56
701091476678730784,https://www.airbnb.com/rooms/701091476678730784,20221211170644,2022-12-11,city scrape,475996850,https://www.airbnb.com/users/show/475996850,Wei Chieh,2022-08-21,"Vancouver, Canada",within a few hours,100%,100%,t,https://a0.muscache.com/im/pictures/user/dc4c470e-1ccd-490e-a2ef-d2d6c93f0a82.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/dc4c470e-1ccd-490e-a2ef-d2d6c93f0a82.jpg?aki_policy=profile_x_medium,South Vancouver,4,4,"['email', 'phone']",t,t,,Victoria-Fraserview,,49.2292,-123.05687,Private room in home,Private room,2,,1 private bath,1,1,$80.00,2,30,2,2,30,30,2,30,,t,14,36,36,36,2022-12-11,3,3,0,2022-09-15,2022-10-23,4.67,5,4.67,5,5,4.67,4.67,22-269150,f,4,0,4,0,1.02
