event_id,match_id,team,event_team,event_time,event_type,action_player_1,action_player_2
1,1,Bayern Munich,away, 35 ,Yellow card, Jamal Musiala ,
2,1,Bayern Munich,away, 37 ,Goal, Eric Maxim Choupo-Moting , Serge Gnabry 
3,1,RB Leipzig,home, 41 ,Yellow card, Xaver Schlager ,
4,1,RB Leipzig,home, 52 ,Goal, Marcel Halstenberg , Dominik Szoboszlai 
5,1,Bayern Munich,away, 52 ,Yellow card, Leon Goretzka ,
6,1,Bayern Munich,away, 66 ,Yellow card, Dayot Upamecano ,
7,1,RB Leipzig,home, 67 ,Substitution, Timo Werner , Emil Forsberg 
8,1,Bayern Munich,away, 68 ,Substitution, Kingsley Coman , Jamal Musiala 
9,1,RB Leipzig,home, 71 ,Yellow card, Konrad Laimer ,
10,1,RB Leipzig,home, 82 ,Substitution, Amadou Haidara , Dani Olmo 
11,1,Bayern Munich,away, 83 ,Substitution, Thomas Müller , Serge Gnabry 
12,1,RB Leipzig,home, 83 ,Substitution, Lukas Klostermann , Mohamed Simakan 
13,1,Bayern Munich,away, 85 ,Substitution, Mathys Tel , Eric Maxim Choupo-Moting 
14,1,RB Leipzig,home, 91 ,Substitution, David Raum , Marcel Halstenberg 
15,2,Hoffenheim,away, 7 ,Yellow card, Ozan Kabak ,
16,2,1. FC Köln,home, 13 ,Goal, Florian Kainz , Linton Maina 
17,2,Hoffenheim,away, 35 ,Goal, Jacob Bruun Larsen , Christoph Baumgartner 
18,2,Hoffenheim,away, 45 ,Substitution, Kevin Akpoguma , Stanley Nsoki 
19,2,1. FC Köln,home, 51 ,Yellow card, Ondrej Duda ,
20,2,Hoffenheim,away, 57 ,Substitution, Andrej Kramarić , Sebastian Rudy 
21,2,Hoffenheim,away, 62 ,Substitution, Eduardo Quaresma , Kevin Vogt 
22,2,1. FC Köln,home, 72 ,Substitution, Kingsley Schindler , Linton Maina 
23,2,Hoffenheim,away, 74 ,Substitution, Georginio Rutter , Jacob Bruun Larsen 
24,2,Hoffenheim,away, 74 ,Substitution, Angelo Stiller , Dennis Geiger 
25,2,1. FC Köln,home, 80 ,Substitution, Mark Uth , Ondrej Duda 
26,2,1. FC Köln,home, 80 ,Substitution, Florian Dietz , Steffen Tigges 
27,2,Hoffenheim,away, 87 ,Second yellow card, Ozan Kabak ,
28,2,1. FC Köln,home, 92 ,Substitution, Sargis Adamyan , Florian Dietz 
29,3,Schalke 04,home, 18 ,Yellow card, Sebastian Polter ,
30,3,Schalke 04,home, 34 ,Substitution, Kerim Çalhanoğlu , Thomas Ouwejan 
31,3,SC Freiburg,away, 41 ,Yellow card, Matthias Ginter ,
32,3,SC Freiburg,away, 46 ,Goal, Vincenzo Grifo , Maximilian Eggestein 
33,3,Schalke 04,home, 56 ,Substitution, Tobias Mohr , Kenan Karaman 
34,3,Schalke 04,home, 56 ,Substitution, Simon Terodde , Sebastian Polter 
35,3,SC Freiburg,away, 61 ,Penalty, Vincenzo Grifo , Penalty 
36,3,SC Freiburg,away, 69 ,Substitution, Lucas Höler , Michael Gregoritsch 
37,3,SC Freiburg,away, 69 ,Substitution, Daniel-Kofi Kyereh , Jeong Woo-yeong 
38,3,Schalke 04,home, 73 ,Yellow card, Tom Krauß ,
39,3,SC Freiburg,away, 76 ,Substitution, Kevin Schade , Ritsu Dōan 
40,3,SC Freiburg,away, 76 ,Substitution, Noah Weißhaupt , Vincenzo Grifo 
41,3,Schalke 04,home, 81 ,Substitution, Danny Latza , Tom Krauß 
42,3,SC Freiburg,away, 85 ,Substitution, Kiliann Sildillia , Lukas Kübler 
43,3,SC Freiburg,away, 88 ,Yellow card, Christian Günter ,
44,3,Schalke 04,home, 90 ,Yellow card, Maya Yoshida ,
45,4,1. FC Union Berlin,home, 30 ,Disallowed goal,Disallowed goal,
46,4,M'gladbach,away, 33 ,Goal, Nico Elvedi , Lars Stindl 
47,4,1. FC Union Berlin,home, 59 ,Substitution, Sven Michel , Jordan Siebatcheu 
48,4,1. FC Union Berlin,home, 59 ,Substitution, Christopher Trimmel , Tymoteusz Puchacz 
49,4,1. FC Union Berlin,home, 59 ,Substitution, Genki Haraguchi , András Schäfer 
50,4,1. FC Union Berlin,home, 64 ,Yellow card, Sven Michel ,
51,4,M'gladbach,away, 67 ,Yellow card, Marcus Thuram ,
52,4,M'gladbach,away, 74 ,Substitution, Patrick Herrmann , Nathan Ngoumou 
53,4,M'gladbach,away, 74 ,Substitution, Luca Netz , Alassane Plea 
54,4,1. FC Union Berlin,home, 74 ,Substitution, Jamie Leweling , Janik Haberer 
55,4,1. FC Union Berlin,home, 74 ,Substitution, Kevin Behrens , Sheraldo Becker 
56,4,1. FC Union Berlin,home, 79 ,Goal, Kevin Behrens , Diogo Leite 
57,4,M'gladbach,away, 79 ,Yellow card, Tobias Sippel ,
58,4,M'gladbach,away, 85 ,Substitution, Yvandro Borges Sanches , Lars Stindl 
59,4,1. FC Union Berlin,home, 87 ,Disallowed goal,Disallowed goal,
60,4,1. FC Union Berlin,home, 91 ,Yellow card, Julian Ryerson ,
61,4,M'gladbach,away, 91 ,Substitution, Tony Jantschke , Ramy Bensebaïni 
62,4,1. FC Union Berlin,home, 95 ,Yellow card, Christopher Trimmel ,
63,4,1. FC Union Berlin,home, 97 ,Goal, Danilho Doekhi , Jamie Leweling 
64,5,Eintracht Frankfurt,home, 16 ,Yellow card, Luca Pellegrini ,
65,5,Borussia Dortmund,away, 20 ,Goal, Julian Brandt , Donyell Malen 
66,5,Eintracht Frankfurt,home, 26 ,Goal, Daichi Kamada , Randal Kolo Muani 
67,5,Borussia Dortmund,away, 52 ,Goal, Jude Bellingham , Youssoufa Moukoko 
68,5,Eintracht Frankfurt,home, 59 ,Yellow card, Jesper Lindstrøm ,
69,5,Borussia Dortmund,away, 61 ,Substitution, Giovanni Reyna , Donyell Malen 
70,5,Borussia Dortmund,away, 61 ,Substitution, Emre Can , Julian Brandt 
71,5,Borussia Dortmund,away, 61 ,Substitution, Anthony Modeste , Youssoufa Moukoko 
72,5,Borussia Dortmund,away, 66 ,Yellow card, Salih Özcan ,
73,5,Borussia Dortmund,away, 69 ,Substitution, Marius Wolf , Karim Adeyemi 
74,5,Borussia Dortmund,away, 70 ,Yellow card, Emre Can ,
75,5,Eintracht Frankfurt,home, 72 ,Substitution, Djibril Sow , Sebastian Rode 
76,5,Eintracht Frankfurt,home, 77 ,Substitution, Lucas Alario , Jesper Lindstrøm 
77,5,Borussia Dortmund,away, 81 ,Yellow card, Mats Hummels ,
78,5,Eintracht Frankfurt,home, 84 ,Substitution, Rafael Borré , Daichi Kamada 
79,5,Eintracht Frankfurt,home, 92 ,Yellow card, Sebastian Rode ,
80,5,Eintracht Frankfurt,home, 95 ,Yellow card, Tuta ,
81,5,Borussia Dortmund,away, 95 ,Yellow card, Giovanni Reyna ,
82,5,Eintracht Frankfurt,home, 95 ,Yellow card, Kevin Trapp ,
83,5,Borussia Dortmund,away, 95 ,Yellow card, Jude Bellingham ,
84,6,Augsburg,away, 4 ,Goal, Florian Niederlechner , Fredrik Jensen 
85,6,Augsburg,away, 13 ,Yellow card, Carlos Gruezo ,
86,6,VfB Stuttgart,home, 15 ,Goal, Sehrou Guirassy , Borna Sosa 
87,6,Augsburg,away, 25 ,Substitution, Lukas Petkov , Ruben Vargas 
88,6,VfB Stuttgart,home, 66 ,Substitution, Tiago Tomás , Silas Katompa Mvumpa 
89,6,VfB Stuttgart,home, 76 ,Substitution, Lilian Egloff , Chris Führich 
90,6,Augsburg,away, 78 ,Yellow card, Elvis Rexhbeçaj ,
91,6,Augsburg,away, 79 ,Substitution, Felix Uduokhai , Mads Pedersen 
92,6,VfB Stuttgart,home, 91 ,Goal, Waldemar Anton , Tiago Tomás 
93,6,Augsburg,away, 93 ,Substitution, Arne Maier , Carlos Gruezo 
94,6,Augsburg,away, 93 ,Substitution, Daniel Caligiuri , Lukas Petkov 
95,6,VfB Stuttgart,home, 95 ,Yellow card, Luca Pfeiffer ,
96,6,VfB Stuttgart,home, 95 ,Substitution, Atakan Karazor , Luca Pfeiffer 
97,6,VfB Stuttgart,home, 95 ,Substitution, Pascal Stenzel , Waldemar Anton 
98,7,Bayer Leverkusen,away, 26 ,Yellow card, Edmond Tapsoba ,
99,7,Bayer Leverkusen,away, 31 ,Yellow card, Piero Hincapié ,
100,7,RB Leipzig,home, 32 ,Goal, Christopher Nkunku , Dominik Szoboszlai 
101,7,RB Leipzig,home, 35 ,Yellow card, Kevin Kampl ,
