description,neighborhood_overview,host_about,host_is_superhost,host_has_profile_pic,host_identity_verified,latitude,longitude,instant_bookable,amenity_smoke_alarm,amenity_kitchen,amenity_wifi,amenity_essentials,amenity_hangers,amenity_hair_dryer,amenity_hot_water,amenity_dishes_and_silverware,amenity_cooking_basics,amenity_refrigerator,amenity_carbon_monoxide_alarm,amenity_shampoo,amenity_iron,amenity_microwave,amenity_fire_extinguisher,amenity_bed_linens,amenity_heating,amenity_washer,amenity_dishwasher,amenity_free_parking_on_premises,amenity_long_term_stays_allowed,amenity_self_check-in,amenity_dedicated_workspace,amenity_oven,amenity_first_aid_kit,amenity_bathtub,amenity_extra_pillows_and_blankets,amenity_hot_water_kettle,amenity_private_entrance,amenity_cleaning_products,host_verification_phone,host_verification_email,host_verification_work_email,host_verification_photographer,log_price,log_host_response_rate,log_host_acceptance_rate,log_host_total_listings_count,log_accommodates,log_minimum_nights,log_maximum_nights,log_availability_30,log_availability_365,log_number_of_reviews,log_review_scores_rating,log_bathrooms,fr_month,fr_day,lr_year,lr_month,lr_day,hs_year,hs_month,hs_day,host_response_time_order,room_type_entire_home_or_apt,bathroom_is_private,ngb_arbutus_ridge,ngb_downtown,ngb_downtown_eastside,ngb_dunbar_southlands,ngb_fairview,ngb_grandview_woodland,ngb_hastings_sunrise,ngb_kensington_cedar_cottage,ngb_kerrisdale,ngb_killarney,ngb_kitsilano,ngb_marpole,ngb_mount_pleasant,ngb_oakridge,ngb_renfrew_collingwood,ngb_riley_park,ngb_shaughnessy,ngb_south_cambie,ngb_strathcona,ngb_sunset,ngb_victoria_fraserview,ngb_west_end,boat,camper/rv,entire_bungalow,entire_cabin,entire_condo,entire_cottage,entire_guest_suite,entire_guesthouse,entire_home,entire_loft,entire_place,entire_rental_unit,entire_serviced_apartment,entire_timeshare,entire_townhouse,entire_vacation_home,entire_villa,floor,private_room_in_bed_and_breakfast,private_room_in_boat,private_room_in_bungalow,private_room_in_camper/rv,private_room_in_casa_particular,private_room_in_condo,private_room_in_cottage,private_room_in_guest_suite,private_room_in_guesthouse,private_room_in_home,private_room_in_hostel,private_room_in_loft,private_room_in_rental_unit,private_room_in_resort,private_room_in_serviced_apartment,private_room_in_tiny_home,private_room_in_townhouse,private_room_in_vacation_home,private_room_in_villa,room_in_aparthotel,room_in_boutique_hotel,room_in_hotel,tiny_home
1,0,1,1,1,1,49.28201,-123.12669,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0,1,1,1,0,1,1,1,0,0,5.062595033026967,4.61512051684126,4.574710978503383,0.6931471805599453,1.0986122886681098,1.0986122886681098,4.51085950651685,2.9444389791664403,5.3612921657094255,6.095824562432225,1.7369512327330598,0.6931471805599453,6,22,2023,2,24,2009,11,7,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,49.25622,-123.06607,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,5.017279836814924,4.61512051684126,4.5217885770490405,1.791759469228055,1.0986122886681098,3.4339872044851463,5.198497031265826,0.0,5.030437921392435,4.574710978503383,1.7783364488959144,0.6931471805599453,6,2,2022,11,6,2009,11,8,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,1,1,49.24922,-123.08139,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,5.017279836814924,4.581892669691393,4.495121834411848,0.6931471805599453,1.6094379124341003,1.3862943611198906,2.0794415416798357,0.0,0.0,3.5553480614894135,1.7509374747078,0.6931471805599453,10,3,2021,7,14,2009,11,20,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,1,1,49.27921,-123.08835,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,4.709530201312334,4.61512051684126,4.543294782270004,1.6094379124341003,1.0986122886681098,3.4339872044851463,7.026426808699636,0.6931471805599453,4.2626798770413155,5.583496308781699,1.7387102481382397,0.6931471805599453,2,15,2023,1,26,2009,11,23,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,1,1,49.27721,-123.04086,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,5.860786223465865,4.581892669691393,4.61512051684126,0.6931471805599453,1.6094379124341003,1.3862943611198906,3.4657359027997265,0.0,5.272999558563747,2.0794415416798357,1.7173950539391927,0.6931471805599453,8,4,2022,7,30,2009,12,15,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,1,1,49.26339,-123.07145,0,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,4.61512051684126,0.0,4.495121834411848,1.9459101490553132,1.9459101490553132,5.902633333401366,5.902633333401366,3.4339872044851463,4.51085950651685,1.3862943611198906,1.6094379124341003,0.6931471805599453,12,24,2018,2,16,2009,11,29,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,1,1,49.25277,-123.03774,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,5.278114659230517,4.581892669691393,0.0,1.0986122886681098,2.0794415416798357,1.791759469228055,3.4011973816621555,2.3978952727983707,2.995732273553991,2.0794415416798357,1.791759469228055,1.3862943611198906,5,6,2021,9,29,2009,10,27,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,1,1,49.26132,-123.10845,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.553876891600541,4.581892669691393,4.495121834411848,0.6931471805599453,1.0986122886681098,1.791759469228055,4.110873864173311,0.0,0.0,5.318119993844216,1.7227665977411035,0.6931471805599453,10,1,2021,10,1,2010,1,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,1,1,49.24781,-123.07241,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,5.017279836814924,4.581892669691393,4.495121834411848,0.6931471805599453,1.9459101490553132,3.4339872044851463,5.902633333401366,2.8903717578961645,2.8903717578961645,0.0,1.7498576018004357,0.6931471805599453,1,1,1900,1,1,2010,1,10,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,1,1,49.26557,-123.096,0,1,1,1,1,0,1,1,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,3.9512437185814275,4.581892669691393,4.495121834411848,1.6094379124341003,1.0986122886681098,3.4339872044851463,7.026426808699636,2.8903717578961645,5.424950017481403,4.77912349311153,1.7119945007591924,0.6931471805599453,3,17,2019,12,31,2010,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,49.27569,-123.07057,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,0,4.700480365792417,4.61512051684126,4.61512051684126,1.3862943611198906,1.0986122886681098,0.6931471805599453,3.713572066704308,0.0,0.0,6.1463292576688975,1.7884205679625405,0.6931471805599453,6,6,2023,3,12,2010,1,18,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
